#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2] 
1636273818720955287,0.00532632,-0.00213053,-0.0191748,9.84496,-0.335188,0.126893
1636273818723947689,0.00426106,0,-0.0213053,9.88087,-0.363919,0.0885855
1636273818724949409,0.00319579,0.00372843,-0.0175769,9.84496,-0.308852,0.117316
1636273818742948200,0.00585895,-0.0015979,-0.0213053,9.84256,-0.318429,0.129287
1636273818743986972,0.00532632,-0.00319579,-0.02024,9.84735,-0.318429,0.126893
1636273818747950997,0.00639159,0.00266316,-0.0186421,9.79468,-0.385466,0.179565
1636273818748965129,0.00426106,0,-0.0191748,9.79707,-0.311246,0.158017
1636273818751956022,0.000532632,-0.000532632,-0.0213053,9.7444,-0.373495,0.0837971
1636273818753945079,0.00426106,0.00106526,-0.0191748,9.76355,-0.452504,0.0933739
1636273818755947973,0.00213053,0.000532632,-0.02024,9.79468,-0.328006,0.148441
1636273818757944557,-0.00213053,-0.000532632,-0.0181095,9.82102,-0.306458,0.107739
1636273818758944789,0.00372843,0,-0.0175769,9.8282,-0.42138,0.138864
1636273818761945968,0.0015979,0,-0.0223706,9.83778,-0.385466,0.117316
1636273818764942456,-0.00213053,0.00372843,-0.0197074,9.87129,-0.344765,0.143652
1636273818766946020,0.00319579,-0.00213053,-0.015979,9.84256,-0.323217,0.143652
1636273818767943876,0.00319579,-0.000532632,-0.0154463,9.79468,-0.366313,0.0981623
1636273818770976950,0.00106526,0.000532632,-0.0255663,9.85693,-0.339977,0.126893
1636273818772978902,0.00319579,0.00213053,-0.015979,9.81862,-0.318429,0.114922
1636273818774976227,0.00426106,0.00266316,-0.015979,9.81383,-0.318429,0.146046
1636273818776975203,0.00532632,0,-0.0229032,9.83778,-0.320823,0.131681
1636273818777978982,0.00213053,-0.00213053,-0.015979,9.85932,-0.368707,0.143652
1636273818780940969,0.00319579,-0.00319579,-0.0133158,9.86411,-0.328006,0.126893
1636273818781944299,0.0015979,-0.00213053,-0.0175769,9.8282,-0.31364,0.1652
1636273818786002455,-0.00426106,-0.00106526,-0.0186421,9.85693,-0.354342,0.100556
1636273818786975172,0.00266316,-0.000532632,-0.02024,9.85932,-0.347159,0.131681
